trial_id,fault_type,target,injected_at,cleared_at,intensity
5499fbd5,dynamodb_failure,TicketBuddy_GetSchedules,2026-07-29T00:54:36.064510+00:00,2026-07-29T00:55:49.175491+00:00,30
c3b84673,dynamodb_failure,TicketBuddy_GetSchedules,2026-07-29T01:01:42.453094+00:00,2026-07-29T01:02:45.527392+00:00,30
84e5019d,dynamodb_failure,TicketBuddy_GetSchedules,2026-07-29T01:09:39.174852+00:00,2026-07-29T01:10:42.284696+00:00,30
a292a7db,dynamodb_failure,TicketBuddy_GetSchedules,2026-07-29T01:16:35.604479+00:00,2026-07-29T01:17:38.651667+00:00,30
3b8b34d3,dynamodb_failure,TicketBuddy_GetSchedules,2026-07-29T01:23:41.935465+00:00,2026-07-29T01:24:45.046148+00:00,30
b4e8bd15,exception,TicketBuddy_BookTicket,2026-07-29T01:47:48.750777+00:00,2026-07-29T01:48:38.667431+00:00,30
dd488388,exception,TicketBuddy_BookTicket,2026-07-29T01:55:33.277422+00:00,2026-07-29T01:56:43.241717+00:00,30
5b278010,exception,TicketBuddy_BookTicket,2026-07-29T02:02:37.416968+00:00,2026-07-29T02:03:37.388005+00:00,30
d98ae732,exception,TicketBuddy_BookTicket,2026-07-29T02:09:41.591026+00:00,2026-07-29T02:10:41.489627+00:00,30
d24a9634,exception,TicketBuddy_BookTicket,2026-07-29T02:16:35.524330+00:00,2026-07-29T02:17:45.385996+00:00,30
273fba80,timeout,TicketBuddy_GetSchedules,2026-07-29T23:35:14.631289+00:00,2026-07-29T23:35:37.885669+00:00,30
e01fb58d,timeout,TicketBuddy_GetSchedules,2026-07-30T00:29:16.202781+00:00,2026-07-30T00:32:02.901514+00:00,30
4383c42d,timeout,TicketBuddy_BookTicket,2026-07-30T00:36:36.126268+00:00,2026-07-30T00:37:45.364562+00:00,30
52e47620,timeout,TicketBuddy_BookTicket,2026-07-30T00:57:12.111652+00:00,2026-07-30T00:58:41.318241+00:00,30
869b4b75,timeout,TicketBuddy_BookTicket,2026-07-30T01:18:07.965640+00:00,2026-07-30T01:19:37.387484+00:00,30
d20a9938,timeout,TicketBuddy_BookTicket,2026-07-30T09:35:24.459618+00:00,2026-07-30T09:36:43.726415+00:00,30
8c8ed560,timeout,TicketBuddy_BookTicket,2026-07-30T09:43:37.833675+00:00,2026-07-30T09:44:36.997377+00:00,30
653a1bdd,timeout,TicketBuddy_BookTicket,2026-07-30T10:04:03.880502+00:00,2026-07-30T10:05:43.084970+00:00,30
4416bd91,api_failure,TicketBuddy_TaxCalculator,2026-07-30T11:57:58.455606+00:00,,30
