trial_id,cleared_at,fault_type,injected_at,intensity,target
d24a9634,2026-07-29T02:17:45.385996+00:00,exception,2026-07-29T02:16:35.524330+00:00,30,TicketBuddy_BookTicket
52e47620,2026-07-30T00:58:41.318241+00:00,timeout,2026-07-30T00:57:12.111652+00:00,30,TicketBuddy_BookTicket
869b4b75,2026-07-30T01:19:37.387484+00:00,timeout,2026-07-30T01:18:07.965640+00:00,30,TicketBuddy_BookTicket
4416bd91,,api_failure,2026-07-30T11:57:58.455606+00:00,30,TicketBuddy_TaxCalculator
3b8b34d3,2026-07-29T01:24:45.046148+00:00,dynamodb_failure,2026-07-29T01:23:41.935465+00:00,30,TicketBuddy_GetSchedules
c3b84673,2026-07-29T01:02:45.527392+00:00,dynamodb_failure,2026-07-29T01:01:42.453094+00:00,30,TicketBuddy_GetSchedules
4383c42d,2026-07-30T00:37:45.364562+00:00,timeout,2026-07-30T00:36:36.126268+00:00,30,TicketBuddy_BookTicket
5499fbd5,2026-07-29T00:55:49.175491+00:00,dynamodb_failure,2026-07-29T00:54:36.064510+00:00,30,TicketBuddy_GetSchedules
8c8ed560,2026-07-30T09:44:36.997377+00:00,timeout,2026-07-30T09:43:37.833675+00:00,30,TicketBuddy_BookTicket
653a1bdd,2026-07-30T10:05:43.084970+00:00,timeout,2026-07-30T10:04:03.880502+00:00,30,TicketBuddy_BookTicket
84e5019d,2026-07-29T01:10:42.284696+00:00,dynamodb_failure,2026-07-29T01:09:39.174852+00:00,30,TicketBuddy_GetSchedules
dd488388,2026-07-29T01:56:43.241717+00:00,exception,2026-07-29T01:55:33.277422+00:00,30,TicketBuddy_BookTicket
a292a7db,2026-07-29T01:17:38.651667+00:00,dynamodb_failure,2026-07-29T01:16:35.604479+00:00,30,TicketBuddy_GetSchedules
d20a9938,2026-07-30T09:36:43.726415+00:00,timeout,2026-07-30T09:35:24.459618+00:00,30,TicketBuddy_BookTicket
e01fb58d,2026-07-30T00:32:02.901514+00:00,timeout,2026-07-30T00:29:16.202781+00:00,30,TicketBuddy_GetSchedules
273fba80,2026-07-29T23:35:37.885669+00:00,timeout,2026-07-29T23:35:14.631289+00:00,30,TicketBuddy_GetSchedules
5b278010,2026-07-29T02:03:37.388005+00:00,exception,2026-07-29T02:02:37.416968+00:00,30,TicketBuddy_BookTicket
b4e8bd15,2026-07-29T01:48:38.667431+00:00,exception,2026-07-29T01:47:48.750777+00:00,30,TicketBuddy_BookTicket
d98ae732,2026-07-29T02:10:41.489627+00:00,exception,2026-07-29T02:09:41.591026+00:00,30,TicketBuddy_BookTicket
t8967ee6,2026-07-31T13:02:30+00:00,timeout,2026-07-31T13:00:00+00:00,30,TicketBuddy_BookTicket
td7a75df,2026-07-31T13:07:30+00:00,timeout,2026-07-31T13:05:00+00:00,30,TicketBuddy_GetSchedules
tf624b5d,2026-07-31T13:12:30+00:00,timeout,2026-07-31T13:10:00+00:00,30,TicketBuddy_TaxCalculator
t91a6f16,2026-07-31T13:17:30+00:00,timeout,2026-07-31T13:15:00+00:00,30,TicketBuddy_BookTicket
t4d691d0,2026-07-31T13:22:30+00:00,timeout,2026-07-31T13:20:00+00:00,30,TicketBuddy_GetSchedules
t9ba3d1a,2026-07-31T13:27:30+00:00,exception,2026-07-31T13:25:00+00:00,30,TicketBuddy_BookTicket
tcc7061e,2026-07-31T13:32:30+00:00,exception,2026-07-31T13:30:00+00:00,30,TicketBuddy_GetSchedules
t26ec74d,2026-07-31T13:37:30+00:00,exception,2026-07-31T13:35:00+00:00,30,TicketBuddy_TaxCalculator
t4cb5bcd,2026-07-31T13:42:30+00:00,exception,2026-07-31T13:40:00+00:00,30,TicketBuddy_BookTicket
tde90e60,2026-07-31T13:47:30+00:00,exception,2026-07-31T13:45:00+00:00,30,TicketBuddy_GetSchedules
t015cf16,2026-07-31T13:52:30+00:00,dynamodb_failure,2026-07-31T13:50:00+00:00,30,TicketBuddy_GetSchedules
t7648bab,2026-07-31T13:57:30+00:00,dynamodb_failure,2026-07-31T13:55:00+00:00,30,TicketBuddy_BookTicket
t0b7e176,2026-07-31T14:02:30+00:00,dynamodb_failure,2026-07-31T14:00:00+00:00,30,TicketBuddy_GetSchedules
t1f2e367,2026-07-31T14:07:30+00:00,dynamodb_failure,2026-07-31T14:05:00+00:00,30,TicketBuddy_BookTicket
t96baade,2026-07-31T14:12:30+00:00,dynamodb_failure,2026-07-31T14:10:00+00:00,30,TicketBuddy_GetSchedules
t2efe18d,2026-07-31T14:17:30+00:00,api_failure,2026-07-31T14:15:00+00:00,30,TicketBuddy_TaxCalculator
t201c06d,2026-07-31T14:22:30+00:00,api_failure,2026-07-31T14:20:00+00:00,30,TicketBuddy_GetSchedules
tbeb4bd8,2026-07-31T14:27:30+00:00,api_failure,2026-07-31T14:25:00+00:00,30,TicketBuddy_TaxCalculator
td30af1e,2026-07-31T14:32:30+00:00,api_failure,2026-07-31T14:30:00+00:00,30,TicketBuddy_BookTicket
tccb2785,2026-07-31T14:37:30+00:00,api_failure,2026-07-31T14:35:00+00:00,30,TicketBuddy_TaxCalculator
